floe_id,area_px,centroid_x,centroid_y,avg_temp,min_temp,max_temp,std_temp
19,13,259.3208616780045,34.67687074829932,-22.171106338500977,-22.849462509155273,-21.236928939819336,0.353992760181427
20,0,114.140625,21.015625,-21.692726135253906,-22.156484603881836,-21.12233543395996,0.2799369990825653
21,1,29.73076923076923,25.7,-21.997095108032227,-22.38716697692871,-21.351598739624023,0.20257814228534698
22,22,15.372613561553655,53.62936142198815,-22.826335906982422,-23.5452938079834,-21.236928939819336,0.40866944193840027
23,6,102.41113490364026,41.57173447537473,-21.941659927368164,-22.618154525756836,-21.12233543395996,0.289974570274353
24,1,450.2413793103448,28.344827586206897,-21.8575496673584,-22.38716697692871,-21.236928939819336,0.26299113035202026
25,1,554.7260273972603,28.0,-21.653711318969727,-22.0412654876709,-21.236928939819336,0.2139524221420288
26,26,558.7643097643098,55.47194163860831,-22.406930923461914,-23.08107566833496,-21.007802963256836,0.397127240896225
27,1,419.0681818181818,33.42045454545455,-21.889755249023438,-22.38716697692871,-21.007802963256836,0.2888700067996979
28,7,434.32505175983437,40.554865424430645,-22.00895118713379,-22.96523094177246,-21.236928939819336,0.3420554995536804
29,6,615.4753694581281,43.44088669950739,-21.6184139251709,-22.156484603881836,-21.007802963256836,0.24034036695957184
30,43,492.4074326628026,60.168428230480735,-22.053739547729492,-22.618154525756836,-21.007802963256836,0.24673804640769958
31,14,142.3207171314741,55.735059760956176,-22.05992889404297,-22.618154525756836,-21.236928939819336,0.2511013448238373
32,0,34.21621621621622,40.513513513513516,-21.97922134399414,-22.618154525756836,-21.5811824798584,0.25899574160575867
33,7,285.5675146771037,50.94911937377691,-21.805416107177734,-22.38716697692871,-21.236928939819336,0.2607024908065796
34,0,54.4,45.13333333333333,-21.69615364074707,-22.0412654876709,-21.466360092163086,0.14841629564762115
35,0,88.1086956521739,51.82608695652174,-21.631267547607422,-22.0412654876709,-21.236928939819336,0.21249625086784363
